key	ja-JP	en-US	longitude	latitude	min_size	max_size	first_julian_day	last_julian_day
SamgukSagi957	所力只縣	Soryeokji	126.9212995	35.93577112	0.1	2	1721424	1997930
SamgukSagi958	沃野縣	Okya	126.9212995	35.93577112	0.1	2	1997931	9999999
SamgukSagi959	閼也山縣	Alyasan	126.9681283	36.06883043	0.1	2	1721424	1997930
SamgukSagi960	野山縣	Yasan	126.9681283	36.06883043	0.1	2	1997931	2064499
SamgukSagi961	朗山縣	Nangsan	126.9681283	36.06883043	0.1	2	2064500	9999999
SamgukSagi962	于召渚縣	Usojeo	127.1495899	35.94510862	0.1	2	1721424	1997930
SamgukSagi963	紆洲縣	Uju	127.1495899	35.94510862	0.1	2	1997931	2064499
SamgukSagi964	紆州	U	127.1495899	35.94510862	0.1	2	2064500	9999999
SamgukSagi965	伯海郡(伯伊郡)	Baekhae	127.5681222	35.73734935	0.1	4	1721424	1997930
SamgukSagi966	壁谿郡	Byeokgye	127.5681222	35.73734935	0.1	4	1997931	2064499
SamgukSagi967	長溪縣	Janggyegog	127.5681222	35.73734935	0.1	4	2064500	9999999
SamgukSagi968	難珍阿縣	Nanjina	127.410075	35.78403683	0.1	2	1721424	1997930
SamgukSagi969	鎭安縣	Jinan	127.410075	35.78403683	0.1	2	1997931	9999999
SamgukSagi970	高潭縣	Godam	127.5066594	35.65564627	0.1	2	1721424	9999999
SamgukSagi971	任實郡	Imsil	127.2578815	35.60662442	0.1	4	1721424	1997930
SamgukSagi972	任實郡	Imsil	127.2578815	35.60662442	0.1	4	1997931	9999999
SamgukSagi973	馬突縣(馬珍縣)	Madol	127.3486123	35.73034623	0.1	2	1721424	1997930
SamgukSagi974	馬靈縣	Maryeong	127.3486123	35.73034623	0.1	2	1997931	9999999
SamgukSagi975	居斯勿縣	Geosamul	127.3456855	35.56927444	0.1	2	1721424	1997930
SamgukSagi976	靑雄縣	Cheongung	127.3456855	35.56927444	0.1	2	1997931	2064499
SamgukSagi977	巨寧縣	Geonyeong	127.3456855	35.56927444	0.1	2	2064500	9999999
SamgukSagi978	發羅州	Balna	127.1203219	35.80971494	0.1	24	1966323	1971800
SamgukSagi979	武珍州	Mujin	126.8861779	35.15609029	0.1	24	1971801	1997733
SamgukSagi980	武州	Mu	126.8861779	35.15609029	0.1	24	1997734	2064499
SamgukSagi981	光州	Gwang	126.8861779	35.15609029	0.1	24	2064500	9999999
SamgukSagi982	未冬夫里縣	Midongburi	126.8188616	35.06271534	0.1	2	1721424	1997930
SamgukSagi983	玄雄縣	Hyeonung	126.8188616	35.06271534	0.1	2	1997931	2064499
SamgukSagi984	南平郡	Nampyeong	126.8188616	35.06271534	0.1	2	2064500	9999999
SamgukSagi985	伏龍縣	Bokryong	126.7427648	35.15375591	0.1	2	1721424	1997930
SamgukSagi986	龍山縣	Ryongsan	126.7427648	35.15375591	0.1	2	1997931	2064499
SamgukSagi987	伏龍縣	Bokryong	126.7427648	35.15375591	0.1	2	2064500	9999999
SamgukSagi988	屈支縣	Gulji	126.9944695	35.22845587	0.1	2	1721424	1997930
SamgukSagi989	祁陽縣	Giyang	126.9944695	35.22845587	0.1	2	1997931	2064499
SamgukSagi990	昌平縣	Changpyeong	126.9944695	35.22845587	0.1	2	2064500	9999999
SamgukSagi991	分嵯郡(夫沙郡)	Buncha	127.3105639	34.90164355	0.1	4	1721424	1997930
SamgukSagi992	分嶺郡	Bunryeong	127.3105639	34.90164355	0.1	4	1997931	2064499
SamgukSagi993	樂安郡	Nakan	127.3105639	34.90164355	0.1	4	2064500	9999999
SamgukSagi994	助助禮縣	Jojorye	127.3193443	34.72189677	0.1	2	1721424	1997930
SamgukSagi995	忠烈縣	Chungryeol	127.3193443	34.72189677	0.1	2	1997931	2064499
SamgukSagi996	南陽縣	Namyang	127.3193443	34.72189677	0.1	2	2064500	9999999
