key	ja-JP	longitude	latitude	texture	first_year	last_year	overall_length
YayoiDogu304	分銅形土製品	133.809965	34.677843	BlueCircle	-100	100	5.2
YayoiDogu305	人面付土器J	140.237347	35.694897	BlueCircle	-550	-400	5.2
YayoiDogu306	人面付土器A	139.413936	36.14669	BlueCircle	-300	-100	5.2
YayoiDogu307	黥面土偶	138.19232	36.920377	BlueCircle	-500	-100	5.2
YayoiDogu308	台式奴凧形土偶	140.857873	38.014606	BlueCircle	-1000	-400	5.2
YayoiDogu309	台式土偶	141.141702	39.207818	BlueCircle	-1000	-400	5.2
YayoiDogu310	台式土偶	141.157248	39.235338	BlueCircle	-500	-300	5.2
YayoiDogu311	土偶	139.925391	39.883695	BlueCircle	0	0	5.2
YayoiDogu312	台式奴凧形土偶	139.9829	40.701421	BlueCircle	0	0	5.2
YayoiDogu313	結髪土偶	140.364169	40.731066	BlueCircle	-400	200	5.2
YayoiDogu314	土偶	133.794498	34.653374	BlueCircle	-100	100	5.1
YayoiDogu315	黥面土偶	137.412122	34.842617	BlueCircle	-1000	-400	5.1
YayoiDogu316	土偶	140.108598	35.474756	BlueCircle	-300	-100	5.1
YayoiDogu317	黥面土偶	138.165487	36.376235	BlueCircle	-500	-300	5.1
YayoiDogu318	人面付土器J	136.461544	36.377318	BlueCircle	-300	-100	5.1
YayoiDogu319	黥面土偶	138.144599	36.502111	BlueCircle	-1000	-400	5.1
YayoiDogu320	黥面土偶	138.093011	36.524453	BlueCircle	-300	-100	5.1
YayoiDogu321	結髪土偶	141.157248	39.235338	BlueCircle	0	0	5.1
YayoiDogu322	土偶	135.797724	34.555036	BlueCircle	-50	50	5
