key	ja-JP	latitude	longitude	overall_length	texture	first_julian_day	last_julian_day	x_size
Doken45	中細形a	33.53815023	130.4506051	148	Dohoko	1666274	1675405	6
Doken46	広形	33.49382539	130.4242702	253	Dohoko	1713755	1750279	6
Doken47	平形Ⅱ	34.21980457	133.755656	157	Doken	1713755	1724712	5
Doken48	広形	33.55849066	133.6647909	253	Dohoko	1713755	1750279	5
Doken49	中広形	33.25893229	130.5137355	197	Dohoko	1693667	1719234	5
Doken50	細形Ⅱa1	33.53807121	130.3185524	123	Doka	1637054	1651664	5
Doken51	中細形B	33.65690424	130.7741238	148	Doka	1684536	1702798	5
Doken52	細形2x	33.40701776	130.0112176	123	Dohoko	1637054	1651664	5
Doken53	広形Ⅱ	34.46464668	129.283154	253	Dohoko	1735670	1750279	5
Doken54	中細形By	33.24822478	131.7318603	148	DokenChuC	1684536	1702798	5
Doken55	中広形	33.18261716	131.6626402	197	Dohoko	1693667	1719234	5
Doken56	中細形c	35.48729717	133.6805596	179	DokenChuC	1702798	1713755	4
Doken57	細形Ⅰx	34.01678557	130.9229453	123	DokenChuC	1637054	1651664	4
Doken58	平形Ⅱ	34.22999604	133.724222	157	Doken	1713755	1724712	4
Doken59	平形か？	34.2198065	133.7170795	157	Doken	1702798	1724712	4
Doken60	平形Ⅱ	34.20775093	134.0177254	157	Doken	1713755	1724712	4
Doken61	平形Ⅱ	34.00165907	133.012664	157	Doken	1713755	1724712	4
Doken62	広形	33.27237674	133.1096427	253	Dohoko	1713755	1750279	4
Doken63	中広形	33.22524649	133.1339528	197	Dohoko	1693667	1719234	4
Doken64	中広形	33.51667727	133.4271825	197	Dohoko	1693667	1719234	4
Doken65	細形Ⅰx	33.56791082	130.4539254	123	DokenChuC	1637054	1651664	4
Doken66	細形Ⅱb	33.53815023	130.4506051	123	DokenChuC	1637054	1651664	4
Doken67	中細形B	33.65528723	130.775695	148	Doka	1684536	1702798	4
Doken68	細形	33.44987753	130.5649631	123	DokenChuC	1637054	1651664	4
Doken69	中細形B	33.25903493	130.1830584	148	Doka	1684536	1702798	4
Doken70	中広形	33.32740685	130.4089437	197	Dohoko	1693667	1719234	4
Doken71	中広形？	33.34731772	130.4001038	197	Dohoko	1693667	1719234	4
Doken72	中細形By	33.39900745	130.512394	148	DokenChuC	1684536	1702798	4
Doken73	細形Ⅱb	33.39900745	130.512394	123	DokenChuC	1637054	1651664	4
Doken74	広形Ⅰ	34.38068858	129.3113744	253	Dohoko	1713755	1724712	4
Doken75	東部瀬戸内系平形	34.86852639	134.3187203	157	Doken	1702798	1724712	3
Doken76	細形Ⅰx	34.0928202	133.7115905	123	DokenChuC	1637054	1651664	3
Doken77	平形Ⅱ	34.19354155	133.7331192	157	Doken	1713755	1724712	3
Doken78	中細形cy	34.20921337	133.7737456	179	DokenChuC	1702798	1713755	3
Doken79	平形か？	34.21689701	133.7832364	157	Doken	1702798	1724712	3
Doken80	平形Ⅱ	34.23219071	133.807708	157	Doken	1713755	1724712	3
Doken81	平形Ⅱ	34.19451123	133.8263498	157	Doken	1713755	1724712	3
Doken82	平形Ⅱ	34.25547312	134.2139835	157	Doken	1713755	1724712	3
Doken83	平形Ⅱ	33.39393103	132.4914456	157	Doken	1713755	1724712	3
Doken84	平形Ⅱ	33.84870608	132.7864241	157	Doken	1713755	1724712	3
Doken85	中広形	33.7294666	133.5195397	197	Dohoko	1693667	1719234	3
Doken86	広形	33.50508038	133.4956766	253	Doka	1735670	1750279	3
Doken87	細形Ⅱb	33.49236751	130.0751541	123	DokenChuC	1637054	1651664	3
Doken88	中細形A	33.57941326	130.3123312	148	Doka	1666274	1684536	3
Doken89	細形Ⅰy	33.56791082	130.4539254	123	Dohoko	1637054	1651664	3
Doken90	中細形c	33.58602714	130.4135969	179	Dohoko	1684536	1693667	3
Doken91	広形Ⅰ	33.49382539	130.4242702	253	Dohoko	1713755	1724712	3
Doken92	広形Ⅱ	33.49382539	130.4242702	253	Dohoko	1735670	1750279	3
Doken93	中広形	33.51351301	130.4171754	197	Dohoko	1693667	1719234	3
Doken94	中広形	33.44465395	130.6708744	197	Dohoko	1693667	1719234	3
Doken95	中広形	33.42752144	130.7245644	197	Doka	1713755	1724712	3
Doken96	中広形	33.33103148	130.7053757	197	Dohoko	1693667	1719234	3
Doken97	中広形	33.63197786	130.7320981	197	Doka	1713755	1724712	3
Doken98	細形2y	33.53807121	130.3185524	123	Dohoko	1637054	1651664	3
Doken99	細形Ⅱb	33.55514799	130.2957718	123	DokenChuC	1637054	1651664	3
Doken100	中細形C	33.44987753	130.5649631	148	Doka	1702798	1713755	3
Doken101	中細形c	33.46985186	130.6214946	148	Doka	1702798	1713755	3
