key	ja-JP	longitude	latitude	first_year	last_year	texture	overall_length
Kofun226	長辺寺山古墳	140.119344	36.370303	320	360	ZKoenFun	120
Kofun227	要害山1号墳	140.340489	36.190996	999999	999999	ZKoenFunSgt	120
Kofun228	東谷笹塚古墳	139.898361	36.480475	420	440	ZKoenFunSgt	120
Kofun229	上之塚古墳	135.874589	35.468109	460	480	ZKoenFunFSgt3	120
Kofun230	粉糠山古墳	136.564794	35.38686	360	380	ZKohoFunFSgt2	120
Kofun231	浅間古墳	138.746617	35.16436	320	360	ZKohoFunFSgt	120
Kofun232	女良塚古墳	136.140528	34.669173	380	420	HotateFunFSgt	120
Kofun233	中沢大塚古墳	136.177817	35.18281	999999	999999	ZKoenFunSgt	120
Kofun234	箱塚古墳	135.773828	34.862731	380	420	ZKoenFunSgt	120
Kofun235	菅相塚古墳	135.642086	34.785922	999999	999999	ZKoenFun	120
Kofun236	墓の堂古墳	135.6428	34.738328	420	440	ZKoenFun	120
Kofun237	弁天山A1号墳	135.589764	34.856156	240	280	ZKoenFunF	120
Kofun238	長塚古墳	135.487497	34.557971	440	480	ZKoenFunFSgt	120
Kofun239	行者塚古墳	134.888586	34.782133	320	360	ZKoenFunFSgt	120
Kofun240	念仏寺山古墳	135.824086	34.68355	999999	999999	ZKoenFunSgt	120
Kofun241	神明野古墳	135.79785	34.692862	380	420	ZKoenFunSgt	120
Kofun242	栗塚古墳	135.844525	34.569654	999999	999999	ZKoenFun	120
Kofun243	アンド山古墳	135.847172	34.559235	999999	999999	ZKoenFun	120
Kofun244	シウロウ塚古墳	135.852394	34.552001	999999	999999	ZKoenFun	120
Kofun245	纒向勝山古墳	135.835569	34.547448	200	240	MakimukuSgt	120
Kofun246	中山茶臼山古墳	133.854664	34.667128	240	280	ZKoenFun	120
Kofun247	松坂古墳	130.599253	32.966503	999999	999999	ZKoenFun	120
Kofun248	小熊山古墳	131.699972	33.412565	320	360	ZKoenFunF	120
Kofun249	真玉大塚古墳	131.462086	33.602559	420	440	ZKoenFunSgt	120
Kofun250	持田1号墳	131.514886	32.152275	380	420	ZKoenFunF	120
Kofun251	姉崎天神山古墳	140.054147	35.474618	320	360	ZKoenFun	119
Kofun252	安養寺椿山古墳	135.997094	35.0207	420	440	HotateFunFSgt	118.8
Kofun253	玉山1号墳	140.944044	37.11534	320	360	ZKoenFunF	118
Kofun254	銚子塚古墳	130.299792	33.317913	320	360	ZKoenFunFSgt	117.6
Kofun255	中の城古墳	130.693217	32.560799	420	440	ZKoenFunFSgt3	117.6
Kofun256	綿貫観音山古墳	139.077242	36.307737	560	600	ZKoenFunFSgt2	116.4
Kofun257	新田原113号墳	131.419025	32.10135	420	440	ZKoenFunSgt	116.4
Kofun258	稲荷森古墳	140.157208	38.039612	360	380	ZKoenFunFSgt	115.2
Kofun259	八幡観音塚古墳	138.940969	36.341929	560	600	ZKoenFunFSgt2	115.2
Kofun260	峯塚古墳	135.597078	34.552396	480	520	ZKoenFunFSgt2	115.2
Kofun261	佐紀瓢箪山古墳	135.791489	34.699956	360	380	ZKoenFunFSgt2	115.2
Kofun262	纒向矢塚古墳	135.834203	34.546343	200	240	MakimukuFSgt	115.2
Kofun263	纒向東田大塚古墳	135.832992	34.54364	999999	999999	ZKoenFunFSgt	115.2
Kofun264	法正寺古墳	130.796247	33.331302	480	520	ZKoenFunFSgt	115.2
Kofun265	西都原90号墳	131.391867	32.121278	999999	999999	ZKoenFunFSgt	115.2
Kofun266	野本将軍塚古墳	139.412594	36.018063	360	380	ZKoenFunF	115
Kofun267	金鈴塚古墳	139.932911	35.387471	590	620	ZKoenFunSgt	114
Kofun268	殿塚古墳	136.142303	34.671376	360	380	ZKoenFunFSgt	114
Kofun269	妙見山古墳	135.691494	34.952238	320	360	ZKoenFunF	114
