id	name	ja-JP	region	min_pop_placed_per_cell	max_pop_placed_per_cell	init_pop	immigrant	increased_immigration	mtdna_region	ydna_region	language_region	pop_ad725	directions	direction_min_distance	language	hunter_gatherer	farming	snp	agricultural_capable	current_costs	pottery_lineage_initial
81	iturup	択捉島	16	4	20	0	0	0	hokkaido_jomon	jomon	iturup	1430	1/1/1/1/1/1/1/1	160	2	255	0	0	0	5.5/4/0.35/0.35/0.6/4/5.5/5.5	
82	osumi	大隅諸島	1	4	20	410	0	0	southern_islands_jomon	jomon	osumi	410	1/1/1/1/1/1/1/1	160	1	255	0	0	1	0.6/1.2/7/4/5/1.2/0.6/0.25	C
83	tokara	吐噶喇列島	1	4	20	0	0	0	southern_islands_jomon	jomon	tokara	40	1/1/1/1/1/1/1/1	160	1	255	0	0	1	0.6/1.2/7/4/5/1.2/0.6/0.25	C
84	amami	奄美群島	1	4	20	0	0	0	southern_islands_jomon	jomon	amami	500	1/1/1/1/1/1/1/1	160	1	255	0	0	1	0.6/1.2/7/4/5/1.2/0.6/0.25	C
85	okinawa	沖縄諸島	1	4	20	0	0	0	southern_islands_jomon	jomon	okinawa	760	1/1/1/1/1/1/1/1	160	1	255	0	0	1	0.6/1.2/7/4/5/1.2/0.6/0.25	C
86	daito	大東諸島	1	4	20	0	0	0	southern_islands_jomon	jomon	daito	20	1/1/1/1/1/1/1/1	160	1	255	0	0	1	0.35/0.6/5/4/5/1.2/0.6/0.35	
87	sakishima	先島諸島	1	4	20	0	0	0	southern_islands_jomon	jomon	sakishima	340	1/1/1/1/1/1/1/1	160	1	255	0	0	1	0.6/1.2/7/4/5/1.2/0.6/0.25	
88	north_izu	北伊豆諸島	1	4	20	0	0	0	kanto_jomon	jomon	north_izu	120	1/1/1/1/1/1/1/1	160	0	255	0	0	1	0.6/1.2/5/4/5/1.2/0.6/0.25	
89	south_izu	南伊豆諸島	1	4	20	0	0	0	kanto_jomon	jomon	south_izu	40	1/1/1/1/1/1/1/1	160	0	255	0	0	1	0.6/1.2/5/4/5/1.2/0.6/0.25	
90	ogasawara	小笠原諸島	1	4	20	0	0	0	southern_islands_jomon	jomon	ogasawara	40	1/1/1/1/1/1/1/1	160	0	255	0	0	1	0.35/0.6/5/4/5/1.2/0.6/0.35	
