ja-JP	latitude	longitude	overall_length	first_julian_day	last_julian_day	texture	texture
楢崎古墳	32.678346	130.692128	200	1852547	1910986	IeSekkanRed	IeSekkan
塚坊主古墳	32.968987	130.598508	200	1896376	1910986	IeSekkanRed	IeSekkan
千金甲５号墳	32.78341612	130.614383	200	99999999	99999999	IeSekkan	IeSekkan
鬼の岩屋１号墳	33.3100727	131.4936665	200	1925596	1947510	IeSekkan	IeSekkan
北小原2号横穴墓	35.47650476	133.0079206	200	1937649	1951893	IeSekkanYellow	IeSekkan
矢田Ⅲ群1号横穴墓	35.38683458	133.212311	200	1925596	1947510	IeSekkanRedPurple	IeSekkan
鳥木横穴墓	35.37760892	133.2492427	200	1925596	1947510	IeSekkanRedPurple	IeSekkan
（御旅山登山口）	34.79522067	134.6988032	200	99999999	99999999	IeSekkan	IeSekkan
高安　神立7号墳	34.63490391	135.6491979	200	1925596	1947510	IeSekkanBrown	IeSekkan
三里古墳	34.63044884	135.7097443	200	1925596	1947510	IeSekkanYellowGreen	IeSekkan
福西古墳群	34.96698174	135.6798961	200	99999999	99999999	IeSekkan	IeSekkan
芝山3号墳	34.95473672	135.7027793	200	99999999	99999999	IeSekkan	IeSekkan
堀切6号横穴	34.82311168	135.7596355	200	1925596	1947510	IeSekkanBrown	IeSekkan
坊主山古墳	35.27180412	137.0023161	200	99999999	99999999	IeSekkan	IeSekkan
上北山王古墳	32.57017344	130.6815456	199	1874462	1881767	FunaSekkanRed	FunaSekkan
（専光寺）	34.86461175	134.5987751	199	99999999	99999999	IeSekkanBrown	IeSekkan
高安　神立4号墳	34.63490391	135.6491979	199	1925596	1947510	IeSekkanYellowGreen	IeSekkan
八幡宮下2号横穴墓	35.4447263	133.1264488	198	1925596	1947510	IeSekkanRedPurple	IeSekkan
上ノ谷古墳	35.3995022	133.2171263	198	99999999	99999999	IeSekkan	IeSekkan
溜箭古墳	34.39384543	132.9808164	198	99999999	99999999	IeSekkanBrown	IeSekkan
姫路城菱の門	34.83954146	134.693902	198	99999999	99999999	IeSekkanBrown	IeSekkan
姫路城備前門	34.83954146	134.693902	198	99999999	99999999	IeSekkanBrown	IeSekkan
（正法寺）	34.83124738	134.699315	198	99999999	99999999	IeSekkanBrown	IeSekkan
（養壽寺）	34.57607099	135.4754415	198	99999999	99999999	IeSekkanBrown	IeSekkan
浦尻1号墳	37.51738199	141.0250503	197	1925596	1947510	FunaSekkan	FunaSekkan
鵜沼狐塚古墳	35.40200109	136.933058	197	99999999	99999999	IeSekkan	IeSekkan
