ja-JP	latitude	longitude	first_year	last_year	overall_length	texture
萱野	34.99345236	139.8718816	80	240	20	Kango1
屋代Ｂ	35.91742791	140.2124491	-200	30	20	Kango1
吉野ヶ里	33.35216601	130.3994121	-780	200	353.5	Kango4
南鶴	32.82177473	131.0650449	80	240	250	Kango4
唐古・鍵	34.56905914	135.799176	-380	200	250	Kango2
原の辻	33.76056027	129.7516427	-780	260	237	Kango4
二本木	32.96954941	131.5623291	80	240	200	Kango2
池上・曽根	34.50262765	135.4274273	-560	200	200	Kango2
二ノ畔・横枕	35.06773191	135.9915631	-200	200	200	Kango2
服部	35.10419165	135.9965623	-320	-200	200	Kango2
下鉤	35.02810205	135.9834935	-200	200	200	Kango2
伊場遺跡群（梶子・梶子北・中村）	34.69510827	137.7120487	-320	-200	200	Kango2
阿弥陀寺	35.20461032	136.820438	-320	-200	192.5	Kango2
多	34.53334224	135.788833	-780	-200	175	Kango2
観音寺山	34.47135567	135.4458455	80	240	167.5	Kango4
朝日	35.21845964	136.8513357	-350	260	162	Kango2
西方A	35.36347072	139.3993244	-200	30	161	Kango4
綾羅木郷	34.01242281	130.9246669	-780	30	160	Kango2
方保田東原	32.99724566	130.7173632	80	240	157.5	Kango1
二子塚	32.75331688	130.777812	80	240	150	Kango2
熊内	34.70744592	135.2006379	80	240	150	Kango2
加茂	34.81387368	135.4083934	-220	200	150	Kango2
坪井・大福	34.51842398	135.8263776	-780	200	150	Kango2
村竹コノ	34.57446545	136.5216083	80	240	150	Kango2
折本西原	35.52537499	139.5908462	-200	80	150	Kango2
北袋新掘	35.89339944	139.6414077	80	240	150	Kango1
鴨都波	34.46016074	135.7324841	-560	200	148	Kango2
古曽部・芝谷	34.86947275	135.6081177	80	240	141.5	Kango4
板付	33.56560016	130.4528967	-780	-750	134.5	Kango2
下之郷	35.06671045	135.9877825	-320	30	128.5	Kango2
平等坊・岩室	34.59705306	135.8129749	-780	200	125	Kango2
伊勢	35.04208492	135.985439	80	240	125	Kango2
有田遺跡群	33.57091526	130.4356715	-780	-750	122.5	Kango2
北通	35.83255291	139.552143	80	240	122.5	Kango2
京免	35.061124	134.004769	80	240	120	Kango2
今宿五郎江	33.57569895	130.2736005	80	240	116	Kango2
見晴台	35.09936336	136.940286	80	240	115	Kango2
八反畑	32.90598812	130.7663434	80	240	100	Kango2
カネガ谷	34.15967004	134.5163601	80	240	100	Kango4
東大寺山	34.62166424	135.8378266	80	240	100	Kango4
太田・黒田	34.23317063	135.1929996	-560	-320	100	Kango2
猫島	35.28118622	136.8537084	-350	-200	100	Kango2
吹上	35.791024	139.6332018	200	240	100	Kango2
花ノ木	35.79193137	139.6185135	-160	200	100	Kango2
飛鳥山	35.75097597	139.7386666	-200	30	98.5	Kango2
道庭	35.58129189	140.3843223	-350	200	96	Kango2
蒲生上原	33.02299396	130.7284904	80	240	95	Kango2
権田原	35.54906613	139.6013126	-200	80	95	Kango3
山の神	34.79423756	137.7502738	80	240	92	Kango2
鳳凰台			-99	0	91.5	Kango2
朝光寺原	35.54855647	139.5438877	-200	80	86	Kango2
西弥護免	32.8894723	130.8746051	80	240	85.5	Kango2
