key	ja-JP	en-US	longitude	latitude	min_size	max_size	first_year	last_year	texture	所在地	種別	時代	立地	標高	出土遺物
HokkaidoSite848	鷲ノ木1遺跡		140.538004	42.11627718	0	0.5	-3500	-2000	BlueCircle	森町字鷲ノ木町145-1,169,170-1～6,171,172-1･2,173-2･3,175-2,176-2,181-1	遺物包含地	縄文(中期)	海岸段丘	15～20 m	土器、石器
HokkaidoSite849	鳥崎遺跡		140.5589929	42.10822521	0	0.5	-2000	-1000	BlueCircle	森町鳥崎31-1･2,32～42,127～135,136-1･2,193-1,195-6,字富士見町1～3,4-1,5,5-3,157,158-1,159～161,163-12	遺物包含地	縄文(後期)	海岸段丘	15～30 m	土器、石器
HokkaidoSite850	尾白内貝塚		140.6070565	42.10543807	0	0.5	-300	200	BlueCircle	森町字尾白内926～928,929-1･2,950,952,961-1･2･4,962	貝塚	続縄文(前半期)	低位海岸段丘	10～14 m	土器、石器、骨角器
HokkaidoSite851	御幸町遺跡		140.5776636	42.1034419	0	0.5	-3500	-2000	BlueCircle	森町字御幸町132-2,136-1･2,137-1･3,140,141,144,149,153,158-1,161,164,166-1,字清澄3-1,12	遺物包含地	縄文(中期)	低位海岸段丘		
HokkaidoSite852	熱田1遺跡		140.2976039	42.24097474	0	0.5	-300	200	BlueCircle	八雲町熱田223-1･2	遺物包含地	続縄文(前半期)	砂丘	5～10 m	土器
HokkaidoSite853	ハシノスベツ遺跡		140.2706032	42.23591456	0	0.5	-3500	-2000	BlueCircle	八雲町大新72-3,74-1,78,81-1・2	遺物包含地	縄文(中期)		30～50 m	土器、剥片
HokkaidoSite854	トコタン3遺跡		140.2893899	42.23557038	0	0.5	-3500	-2000	BlueCircle	八雲町熱田62-1･2,68-1･2,69-1～4,浜松486～489	遺物包含地	縄文(中期)	海岸段丘上	35 m	土器
HokkaidoSite855	浜松3遺跡		140.3033973	42.23167952	0	0.5	-3500	-2000	BlueCircle	八雲町浜松224～228,230～234,235-1･2,236-1,237,239-1･2,263-1～4,266-1～4,267-1･3,269～271,288-1～3	遺物包含地	縄文(中期)	海岸段丘	25～32 m	
HokkaidoSite856	浜松1遺跡		140.3077509	42.2324361	0	0.5	-3500	-2000	BlueCircle	八雲町浜松259～261,262-1～8,273-1～3,274,275-1･2,276-1～3,277,284-1･2,293,399-1～3	遺物包含地	縄文(中期)	海岸段丘	20～28 m	土器
HokkaidoSite857	浜松8遺跡		140.3087043	42.22886544	0	0.5	-300	200	BlueCircle	八雲町浜松280,378,392,394～396	遺物包含地	続縄文(前半期)		50～60 m	
