key	latitude	longitude	en-US	first_julian_day	last_julian_day	min_size	max_size
mtDNA_Siberia179	34.7570056	72.3623806	R6b	1465572	1757766	0	1000
mtDNA_Siberia180	34.7514611	72.4019361	M65a1	1202598	1582450	0	1000
mtDNA_Siberia181	34.7514611	72.4019361	HV2a	1178492	1566379	0	1000
mtDNA_Siberia182	34.7514611	72.4019361	R30b1	1202598	1582450	0	1000
mtDNA_Siberia183	34.7514611	72.4019361	U2c1b	1202598	1582450	0	1000
mtDNA_Siberia184	34.7514611	72.4019361	U2b	1202598	1582450	0	1000
mtDNA_Siberia185	34.7658417	72.3491333	U7a	1202598	1582450	0	1000
mtDNA_Siberia186	34.7658417	72.3491333	H3ac	1202598	1582450	0	1000
mtDNA_Siberia187	34.7514611	72.4019361	M4a	1218814	1593261	0	1000
mtDNA_Siberia188	34.7514611	72.4019361	T2g1a	1240510	1607725	0	1000
mtDNA_Siberia189	34.7514611	72.4019361	U7a	1202598	1582450	0	1000
mtDNA_Siberia190	34.7514611	72.4019361	M5a	1202598	1582450	0	1000
mtDNA_Siberia191	34.7658417	72.3491333	U2c1	1202598	1582450	0	1000
mtDNA_Siberia192	50.46	49.2	I1b	553708	1149857	0	1000
mtDNA_Siberia193	50.46	49.2	U5a1b	670732	1227872	0	1000
mtDNA_Siberia194	36.9944	45.4744	K1b1a	-1013183	105263	0	1000
mtDNA_Siberia195	37.1907	61.0343	J1d6	216443	925013	0	1000
mtDNA_Siberia196	35.59	53.5	K2a	-2785850	-1076516	0	1000
mtDNA_Siberia197	34.45	48.116	J1c10	-1843525	-448298	0	1000
mtDNA_Siberia198	38.1907	62.0343	J1b1a3	698563	1246427	0	1000
mtDNA_Siberia199	38.1907	62.0343	N1a2	698563	1246427	0	1000
mtDNA_Siberia200	30.649857	61.400311	L3f2b	435588	1071110	0	1000
mtDNA_Siberia201	30.649857	61.400311	H2a	435588	1071110	0	1000
mtDNA_Siberia202	38.1907	62.0343	U1a1c1	676648	1231817	0	1000
mtDNA_Siberia203	38.1907	62.0343	R2	698563	1246427	0	1000
mtDNA_Siberia204	38.1907	62.0343	HV18	599948	1180683	0	1000
mtDNA_Siberia205	38.1907	62.0343	R2	698563	1246427	0	1000
mtDNA_Siberia206	38.1907	62.0343	J1	703384	1249641	0	1000
mtDNA_Siberia207	38.1907	62.0343	HV12b1	764307	1290256	0	1000
mtDNA_Siberia208	37.66666667	67	H2	961538	1421743	0	1000
mtDNA_Siberia209	37.6666667	67	H2a2a	961538	1421743	0	1000
mtDNA_Siberia210	38.1907	62.0343	T	698563	1246427	0	1000
mtDNA_Siberia211	38.1907	62.0343	R2	695933	1244674	0	1000
mtDNA_Siberia212	45.13427	79.36794	H2a2	1138388	1539643	0	1000
mtDNA_Siberia213	55.1924	89.3053	H27	873879	1363304	0	1000
mtDNA_Siberia214	52.81666667	60.46666667	T1a1	786221	1304866	0	1000
mtDNA_Siberia215	52.81666667	60.46666667	U4b1a1a1	786221	1304866	0	1000
mtDNA_Siberia216	48.74175	76.99573333	U4a1	857663	1352493	0	1000
mtDNA_Siberia217	53.87313333	91.46046667	H2b	914640	1390478	0	1000
mtDNA_Siberia218	52.91277778	50.99055556	C	633477	1203036	0	1000
mtDNA_Siberia219	52.81666667	60.46666667	H2b	786221	1304866	0	1000
mtDNA_Siberia220	52.81666667	60.46666667	H1	786221	1304866	0	1000
mtDNA_Siberia221	52.81666667	60.46666667	H1	786221	1304866	0	1000
mtDNA_Siberia222	54.736972	48.171228	U5a1i	928666	1399829	0	1000
mtDNA_Siberia223	48.74175	76.99573333	T1a1	856129	1351470	0	1000
mtDNA_Siberia224	52.81666667	60.46666667	U2e1h	746775	1278568	0	1000
mtDNA_Siberia225	34.75700556	72.36238056	H2	1429852	1733952	0	1000
mtDNA_Siberia226	36.280247	72.414702	J1b1	1816424	1991668	0	1000
mtDNA_Siberia227	37.41563	68.17371	J1b6	1575145	1830815	0	1000
mtDNA_Siberia228	37.41563	68.17371	U2e1e	1575145	1830815	0	1000
mtDNA_Siberia229	37.41563	68.17371	U2e1e	1553011	1816059	0	1000
mtDNA_Siberia230	34.7487639	72.3083583	H2a2	1120856	1527956	0	1000
mtDNA_Siberia231	34.75146111	72.40193611	D4j1b	1202598	1582450	0	1000
mtDNA_Siberia232	34.75146111	72.40193611	A	1202598	1582450	0	1000
mtDNA_Siberia233	37.1907	61.0343	U	216443	925013	0	1000
mtDNA_Siberia234	41.431467	75.885481	R6a2	667006	1225389	0	1000
mtDNA_Siberia235	37.4166667	66.8333333	U2e2a1d	808136	1319475	0	1000
mtDNA_Siberia236	54.335899	91.793907	U5b2a1a	388691	1039846	0	1000
mtDNA_Siberia237	54.335899	91.793907	U5a1d2b	427918	1065997	0	1000
mtDNA_Siberia238	54.35661	90.919186	U5a1d2b	481828	1101937	0	1000
mtDNA_Siberia239	49.49	58.51	U4a	296869	978631	0	1000
mtDNA_Siberia240	50.2249	81.8367833	U5b2a1a2	1114720	1523865	0	1000
mtDNA_Siberia241	52.8166667	60.4666667	U2e1'2'3	786221	1304866	0	1000
mtDNA_Siberia242	40.54	64.99	T	860512	1354392	0	1000
mtDNA_Siberia243	52.8166667	60.4666667	H6b1	790166	1307495	0	1000
mtDNA_Siberia244	55.1924	89.3053	T1a1	960880	1421305	0	1000
mtDNA_Siberia245	43.24655	77.813814	G2a1	910915	1387995	0	1000
mtDNA_Siberia246	34.7570056	72.3623806	K1b1a1	1465572	1757766	0	1000
mtDNA_Siberia247	34.7514611	72.4019361	M30g	1202598	1582450	0	1000
mtDNA_Siberia248	34.7514611	72.4019361	M5a	1202598	1582450	0	1000
mtDNA_Siberia249	34.7514611	72.4019361	M5a	1211802	1588586	0	1000
mtDNA_Siberia250	55.51	77.05	R1b	1027939	1466011	0	1000
mtDNA_Siberia251	50.4501	57.0400556	N1a1a1a1	822599	1329118	0	1000
mtDNA_Siberia252	50.2249	81.8367833	A8a1	1100257	1514223	0	1000
mtDNA_Siberia253	50.2249	81.8367833	K1	1147373	1545633	0	1000
mtDNA_Siberia254	50.6686583	57.7185694	U4a1	1341098	1674783	0	1000
mtDNA_Siberia255	50.2249	81.8367833	U2a	928227	1399536	0	1000
mtDNA_Siberia256	50.2249	81.83678333	I2	1113625	1523134	0	1000
mtDNA_Siberia257	50.4501	57.0400556	A1a	1678143	1899480	0	1000
mtDNA_Siberia258	52.81666667	60.46666667	U5a1c	786221	1304866	0	1000
mtDNA_Siberia259	46.9658667	80.0347333	U5a1a2a	910915	1387995	0	1000
mtDNA_Siberia260	42.6894333	73.1174833	J1b1a1	926693	1398514	0	1000
mtDNA_Siberia261	52.8166667	60.4666667	U5b2a1a2	786221	1304866	0	1000
mtDNA_Siberia262	53.03	50.39	U5a1	786221	1304866	0	1000
mtDNA_Siberia263	46.94785	79.9880833	U2e1h	914640	1390478	0	1000
mtDNA_Siberia264	50.5390744	13.8288292	U5a1b	554146	1150149	0	1000
mtDNA_Siberia265	52.8166667	60.4666667	U2e2a	786221	1304866	0	1000
mtDNA_Siberia266	52.8166667	60.4666667	U5a1i1	797398	1312316	0	1000
mtDNA_Siberia267	53.03	50.39	H5b	928666	1399829	0	1000
mtDNA_Siberia268	50.5447396	13.8351164	W3a1	523466	1129695	0	1000
mtDNA_Siberia269	50.54412	13.834065	J1c2	574746	1163882	0	1000
mtDNA_Siberia270	40.54	64.99	U2e2a1d	720478	1261036	0	1000
mtDNA_Siberia271	52.8166667	60.4666667	T1a1	786221	1304866	0	1000
mtDNA_Siberia272	52.8166667	60.4666667	T1a1	786221	1304866	0	1000
mtDNA_Siberia273	46.9658667	80.0347333	U4a1	1027281	1465572	0	1000
mtDNA_Siberia274	52.8166667	60.4666667	H6a1a	786221	1304866	0	1000
mtDNA_Siberia275	52.8166667	60.4666667	U5a1i1	812300	1322251	0	1000
mtDNA_Siberia276	50.09	74.44	T1a1	814710	1323858	0	1000
mtDNA_Siberia277	50.09	74.44	U4b1a1a1	816025	1324735	0	1000
mtDNA_Siberia278	50.09	74.44	HV6	856129	1351470	0	1000
mtDNA_Siberia279	55.1924	89.3053	U5b2b	873879	1363304	0	1000
mtDNA_Siberia280	55.1924	89.3053	U2e2a1d	873879	1363304	0	1000
mtDNA_Siberia281	46.9658667	80.0347333	J1c5a	912449	1389017	0	1000
mtDNA_Siberia282	53.87313333	91.46046667	T1a1	913764	1389894	0	1000
mtDNA_Siberia283	55.1924	89.3053	U4a	913983	1390040	0	1000
mtDNA_Siberia284	54.1793167	91.5788667	H2b	924283	1396907	0	1000
mtDNA_Siberia285	46.94785	79.9880833	H1	925598	1397783	0	1000
mtDNA_Siberia286	40.54	64.99	U5b1e1	980165	1434161	0	1000
mtDNA_Siberia287	40.37722222	71.855	U5b2b	1114939	1524011	0	1000
mtDNA_Siberia288	40.3772222	71.855	N1a1a1a1	1114939	1524011	0	1000
mtDNA_Siberia289	55.1924	89.3053	T2b34	873879	1363304	0	1000
mtDNA_Siberia290	47.7779833	72.0096833	U5b2b	822599	1329118	0	1000
mtDNA_Siberia291	53.12	48.37	T2b4	841008	1341390	0	1000
mtDNA_Siberia292	55.1924	89.3053	U5b2c	873879	1363304	0	1000
mtDNA_Siberia293	46.9658667	80.0347333	N1a1a1a1	903026	1382735	0	1000
mtDNA_Siberia294	54.736972	48.171228	U5a1f2	928666	1399829	0	1000
mtDNA_Siberia295	52.8166667	60.4666667	T2e2	786221	1304866	0	1000
mtDNA_Siberia296	52.81666667	60.46666667	U2e1h	786221	1304866	0	1000
mtDNA_Siberia297	55.1924	89.3053	U4a1	873879	1363304	0	1000
mtDNA_Siberia298	52.91277778	50.99055556	U2e1	698563	1246427	0	1000
mtDNA_Siberia299	50.2249	81.83678333	T1a1	704699	1250517	0	1000
mtDNA_Siberia300	52.81666667	60.46666667	T2e2	763211	1289525	0	1000
mtDNA_Siberia301	52.8166667	60.4666667	T1a1	778113	1299460	0	1000
mtDNA_Siberia302	52.81666667	60.46666667	U5a1i1	781619	1301798	0	1000
mtDNA_Siberia303	52.81666667	60.46666667	U5a2	786221	1304866	0	1000
mtDNA_Siberia304	52.81666667	60.46666667	W1c	786221	1304866	0	1000
mtDNA_Siberia305	52.8166667	60.4666667	H2b	789508	1307057	0	1000
mtDNA_Siberia306	52.8166667	60.4666667	H2b	800027	1314070	0	1000
mtDNA_Siberia307	48.78176667	76.45303333	K1a	813395	1322982	0	1000
mtDNA_Siberia308	52.81666667	60.46666667	H6a1a	814053	1323420	0	1000
mtDNA_Siberia309	49.12	75.81	T1a1	816025	1324735	0	1000
mtDNA_Siberia310	45.13237778	79.36439444	U5a1a2a	828516	1333062	0	1000
mtDNA_Siberia311	48.7817667	76.4530333	U5a1d2b	830050	1334085	0	1000
mtDNA_Siberia312	53.08	50.36	H3g	841008	1341390	0	1000
mtDNA_Siberia313	42.68943333	73.11748333	R1b1	862703	1355853	0	1000
mtDNA_Siberia314	48.78176667	76.45303333	H7b	879577	1367103	0	1000
mtDNA_Siberia315	42.68943333	73.11748333	U4b1a1a	892507	1375723	0	1000
mtDNA_Siberia316	53.8731333	91.4604667	K1a	892288	1375576	0	1000
mtDNA_Siberia317	42.68943333	73.11748333	W1	947074	1412101	0	1000
mtDNA_Siberia318	48.2144	67.0205	H3g	1032760	1469225	0	1000
mtDNA_Siberia319	50.82	75.6	U2e1h	1093025	1509401	0	1000
mtDNA_Siberia320	50.82	75.6	H2a1a	939623	1407133	0	1000
mtDNA_Siberia321	34.7570056	72.3623806	R5a2	1465791	1757912	0	1000
mtDNA_Siberia322	34.7487639	72.3083583	M5a1	2088822	2173266	0	1000
