key	ja-JP	en-US	ko-KR	zh-TW	latitude	longitude
HAinu195	サペッラ	Sar-pet	니탙내	猿別	42.90083333	143.3383333
HAinu196	サッナイ	Sat-nay	넷코웃이	札内	42.91222222	143.2547222
HAinu197	スマオマプ	Suma-oma-p	누웃펱	島松	42.91944444	141.5777778
HAinu198	ニオペッ	Ni-o-pet	레샄펱	仁別	42.92027778	141.4355556
HAinu199	トゥペッシ	Tus-pet	폰펱	利別	42.92861111	143.4319444
HAinu200	サラシキウイ	Sarki-us-i	니스	去来牛	42.93361111	144.7580556
HAinu201	オイチャンオマプ	O-ican-oma-p	이나우웃이	老者舞	42.93694444	144.7172222
HAinu202	ワッカチャラセ	Wakka-carse	얌왘카루	分遣瀬	42.9375	144.7013889
HAinu203	チプオマナイ	Cip-oma-nay	팤캐페	知方学	42.93888889	144.7344444
HAinu204	パシルク	Paskur	세셐이	馬主来	42.94055556	144.0155556
HAinu205	ウッチナイ	Utci-nay	유페옽	輪厚	42.94416667	141.5083333
HAinu206	カチロコイ	?	콤푸뫼	桂恋	42.94527778	144.4541667
HAinu207	シクトゥルシウナイ	Sikutur-us-nay	오닛카?	宿徳内	42.94722222	144.5047222
HAinu208	チエオタ	Ci-e-ota	페칸페웃이	千代田	42.94722222	143.3586111
HAinu209	ウワッテペッ	Uwatte-pet	유펱	和天別	42.94805556	144.0458333
HAinu210	ポロナイ	Poro-nay	수푼펱	幌内	42.94888889	144.5486111
HAinu211	トゥイマチヌプ	Tuyma-ci-nu-p	폰토마리	十町瀬	42.95027778	144.6
HAinu212	ポントマリ	Pon-tomari	텟운이	浦雲泊	42.95194444	144.6144444
HAinu213	アトウイカ	Atuy-ka	앞내	跡永賀	42.9525	144.6316667
HAinu214	コムプモイ	Kompu-moy	모사	昆布森	42.95444444	144.5311111
HAinu215	サシウシイ	Sas-us-i	뫼올	刺牛	42.95722222	144.0994444
HAinu216	ニセイオマプ	Nisey-oma-p	토맘펱	簾舞	42.95833333	141.2561111
HAinu217	ポンイオプ	Pon-i-o-p	살키웃이	羽帯	42.96027778	142.9072222
HAinu218	ソウシペッ	So-us-pet	오수옾	双珠別	42.96083333	142.5191667
HAinu219	オウコッ	O-u-kot	이찬	興津	42.96222222	144.4102778
HAinu220	シライカラ	Sirar-ika	오눞운내	白糠	42.96388889	144.0875
HAinu221	ハルウトル	Haru-(Utoru)?	샅내	春採	42.96944444	144.4097222
HAinu222	シリエトゥ	Sir-etu	오포로펱	知人	42.97138889	144.3702778
HAinu223	フサルム	Hur-sam	시유퉆?	古山	42.97416667	141.7875
HAinu224	ヌプカペッ	Nupka-pet	샄루펫페	野束	42.97555556	140.4952778
HAinu225	マウオイ	Maw-o-i	토아삼	馬追	42.97888889	141.7427778
HAinu226	ヌサオマイ	Nusa-oma-i	리쿤펱	幣舞	42.97944444	144.3880556
HAinu227	シヨロロ	(Siyororo)?	온네야웃펱	庶路	42.9825	144.1502778
HAinu228	チェププシポウイ	Cep-pop-us-i	오솔콭	仙鳳趾	42.98277778	144.7202778
HAinu229	オサラシウナイ	O-sar-us-nay	잌타라	長流枝内	42.98361111	143.2847222
HAinu230	チプシランケウイ	Cip-ranke-us-i	파나운쿠루야솥케	重蘭窮	42.98361111	144.7194444
HAinu231	サモオマイ	Samo-oma-i	니오펱	様舞	42.98472222	143.4630556
HAinu232	ポロナイ	Poro-nay	수수운내	幌似	42.98472222	140.6147222
HAinu233	リヤムナイ	Riyam-nay	왘카샄내	梨野舞納	42.98555556	140.5319444
HAinu234	モサ	Mosa	토마타오로	武佐	42.98888889	144.4263889
HAinu235	ペッポ	Pet-po	소야	別保	42.99277778	144.4775
HAinu236	トコタン	To-kotan	폰케리맢	床潭	42.99972222	144.8691667
HAinu237	シムカプ	Si-mukap	오칫펱	占冠	43.00055556	142.4061111
HAinu238	ペケペッレ	Peker-pet	누예	清水	43.005	142.8927778
HAinu239	オトケプ	Otop-ke?	카믜내	音更	43.00805556	143.1869444
HAinu240	オタノシキ	Ota-noski	이와오내	大楽毛	43.01083333	144.2730556
HAinu241	ウェンホロカペッ	Wen-horka-pet	에타예펱	遠幌	43.01222222	142.0483333
HAinu242	テイネル	Teyne-ru	피포올	天寧	43.01388889	144.4413889
HAinu243	オポロペッ	O-poro-pet	카웃내	尾幌	43.01472222	144.7030556
HAinu244	クマウシイ	Kuma-us-i	쿠운투	熊牛	43.01527778	142.9516667
HAinu245	カムイハッタラ	Kamuy-hattar	살펱	発足	43.01583333	140.5680556
HAinu246	アラルル	Ar-rur	아소로	阿野呂	43.01638889	141.8197222
HAinu247	ヌプルウトゥ	Nup-utur	살	信取	43.01777778	143.4380556
HAinu248	アイカプ	Aykap	(비이우니)	愛冠	43.02527778	144.8416667
HAinu249	チウルプ	Ciwrup	펜케펱이찬	散布	43.03111111	145.0266667
HAinu250	チキサプ	Ci-kisa-p	펱캐	月寒	43.03138889	141.3952778
HAinu251	トゥイピラ	Tuy-pira	포로놑	豊平	43.03138889	141.38
HAinu252	ニトゥオマプ	Nitu-oma-p	셑웃이	人舞	43.03222222	142.9244444
HAinu253	ピラケシ	Pira-kes	시후치내	平岸	43.03416667	141.3680556
HAinu254	チャロ	Caro	팔	茶路	43.0375	143.9861111
HAinu255	ピパウシ	Pipa-us-i	시라라오이	美蔓	43.03777778	142.9727778
HAinu256	トマタオロ	Toma-ta-oro	폰포로토	苫多	43.04083333	144.7652778
HAinu257	シンプイ	Sinpuy	눞카펱	渋井	43.045	140.5063889
HAinu258	トヤ	To-ya	폰이오이	遠矢	43.0475	144.4555556
HAinu259	トマム	Tomam	포로핱쿹	トマム	43.04944444	142.6130556
HAinu260	ケネポク	Kene-pok	메낫펱	瞼暮帰	43.05	145.1055556
HAinu261	シカリペッ	Si-kari-pet	노야살	然別	43.05305556	143.0830556
HAinu262	ピパセイ	Pipa-sey	시리펱	琵琶瀬	43.05833333	145.0830556
HAinu263	トゥリトゥイェウシイ	Turi-tuye-us-i	포로눞카펱	鳥通	43.05944444	144.4652778
HAinu264	モイスッ	Moy-sut	틔피라	門静	43.06055556	144.7988889
HAinu265	モイレトマリ	Moyre-tomari	포로모실	泊	43.06666667	140.4944444
HAinu266	テレシケウイ	Terke-us-i	피파웃이	照岸	43.07333333	140.4883333
HAinu267	ナイポ	Naypo	포로피내	苗穂	43.07555556	141.3855556
HAinu268	キタプ	Ki-ta-p	쿤네펱	霧多布	43.07916667	145.1275
HAinu269	コッネイ	Kot-ne-i	모페치	琴似	43.07944444	141.3033333
HAinu270	カパラプフ	Kapar-hup	쾨투예	川流布	43.07972222	143.6591667
HAinu271	シットク	Sittok	오살운내	新得	43.08444444	142.8169444
HAinu272	フシコサッポロ	Husko-satporo	싵톸	（伏籠）伏古	43.08777778	141.3944444
HAinu273	キロル	Kiroru	쿤네펱	貴老路	43.09138889	143.6061111
HAinu274	ヌプロオオペッ	Nup-or-o-pet	샄펱	野幌	43.09333333	141.5244444
HAinu275	エサンピタラ	E-san-pitar	웃올	勇足	43.09333333	143.5191667
HAinu276	サオロオペッ	Sa-or-o-pet	니쿨안	佐幌	43.09444444	142.8633333
HAinu277	ハシャム	(Hasyamu)	살파	発寒	43.09916667	141.2775
HAinu278	チライカリペッ	Ciray-kari-pet	찻내	糸魚沢	43.10444444	144.9297222
HAinu279	タコププ	Tapkop	오타펱	達古武	43.10916667	144.4891667
HAinu280	モイワ	Mo-iwa	퇴카무펱	茂岩	43.11333333	140.4519444
HAinu281	オッカイタムラチャパ	Okkay-tam-carpa	훞웃내	丘珠	43.11555556	141.3961111
HAinu282	シタカラ	Sita-kara?	눔웃홀카내	舌辛	43.11777778	144.1136111
HAinu283	オスウォプ	O-suwop	이올웃이	押帯	43.11805556	143.4380556
HAinu284	テイネニタッ	Teyne-nitat	펱웉카	手稲	43.11805556	141.2391667
HAinu285	トイシカラ	To-isikara	펫포키	対雁	43.11861111	141.5261111
HAinu286	モセウシイ	Mose-us-i	툼실웃이	茂世丑	43.11916667	141.8052778
HAinu287	シカリペッ	Si-kari-pet	놑토	然別	43.12583333	140.7363889
HAinu288	イチャンナイ	Ican-nay	판케유	茶内	43.13055556	145.0272222
HAinu289	リシスッ	Sir-sut	옾켓	後静	43.13361111	145.1222222
HAinu290	ペシポキ	Pes-poki	수마투카리펱	星置	43.13638889	141.1991667
HAinu291	ニウンナイ	Ni-un-nay	포로토	新内	43.13666667	142.7647222
