key	ja-JP	ko-KR	en-US	latitude	longitude
SAinu210	テンコン?	텐콘	Tenkon	46.7186	143.2508
SAinu211	ラネトイ	라네퇴	Ranetoy	46.7188	141.8788
SAinu212	ルータカ	루타카	Rutaka	46.7196	142.5232
SAinu213	ルタカ	루타카	Rutaka	46.7276	142.509
SAinu214	ウエヌアンナイ	웨누안내	Wenuannay	46.7295	143.4995
SAinu215	ホヌイチ	호늬치	Honuyci	46.7303	143.4986
SAinu216	ツラオモイ	투라오뫼	Turaomoy	46.7343	142.9841
SAinu217	キムナダエンルン	킴나다엔룸	Kimnadaenrum	46.7419	143.1575
SAinu218	コアイヌ	코애누	Koaynu	46.7426	142.3998
SAinu219	ススヤ	수수야	Susuya	46.7443	142.7242
SAinu220	オコウ	오코	Oko	46.7515	141.9046
SAinu221	トンナイチヤ	톤내차	Tonnayca	46.7523	143.1929
SAinu222	カモイクシ	카믜쿠시	Kamoykusi	46.7525	143.4897
SAinu223	イチャン	이찬	Ican	46.7561	143.343
SAinu224	ツイ	틔	Tuy	46.7565	142.6782
SAinu225	イチャン	이찬	Ican	46.764	143.3516
SAinu226	コアイヌ	코애누	Koaynu	46.7661	142.4163
SAinu227	イチャン	이찬	Ican	46.7697	143.3501
SAinu228	イチャンキタン	이찬키탄	Icankitan	46.7699	143.3493
SAinu229	チライ	치래	Ciray	46.7739	143.2753
SAinu230	オオアイヌ	오애누	Oaynu	46.7783	142.3881
SAinu231	ペロノ	페로노	Perono	46.7812	143.205
SAinu232	スイトムトマリ?	싀톰토마리	Suytomtomari	46.7833	143.2463
SAinu233	ヒロロ?	히로로	Hiroro	46.7881	143.2176
SAinu234	アベラサニ	아베라사니	Aberasani	46.7907	143.377
SAinu235	アサンナイ	아산내	Asannay	46.7909	141.9205
SAinu236	トウポロ	토포로	To-poro	46.792	143.3405
SAinu237	ノウニ	노우니	Nouni	46.7932	143.3205
SAinu238	ピシユナタエンルン	피시유나타엔룸	Pisiyunataenrum	46.7984	143.1608
SAinu239	ポロペシポ	포로페시포	Poropesipo	46.799	143.4151
SAinu240	ヤリヒク	야리힠	Yarihik	46.7994	143.1232
SAinu241	トイオマイ	토요마내	Toy-oma-nay	46.7999	143.4768
SAinu242	トヨマナイ	토요마내	Toyomanay	46.8002	143.4782
SAinu243	イサニクル	이사니쿨	Isanikur	46.8006	143.2841
SAinu244	ヤリケムナイ	야리켐내	Yarikemnay	46.8009	143.1104
SAinu245	ヤリケムイ	야리케믜	Yarikemuy	46.8017	143.1161
SAinu246	ヤンゲエンルン	얀케엔룸	Yanke-enrun	46.8033	143.4246
SAinu247	ソフクナイ	소훜내	Sohuknay	46.8038	143.0928
SAinu248	オオカナ	오카나	Okana	46.8044	143.1659
SAinu249	ウエキドマリ	왜키토마리	Uekidomari	46.805	143.166
SAinu250	ソウセイ	소세	Sosey	46.8052	143.0907
SAinu251	ハトヤ	하토야	Hatoya	46.8067	143.4271
SAinu252	モシリポ	모실포	Mosir-po	46.8075	143.1438
SAinu253	キムナイ	키문내	Kim-un-nay	46.8091	143.0773
SAinu254	イサニクル	이사니쿨	Isanikur	46.8095	143.2552
SAinu255	ポロトマリ	포로토마리	Poro-tomari	46.815	143.4305
SAinu256	テンナイ	텐내	Tennay	46.8151	143.0672
SAinu257	イサニクル	이사니쿨	Isanikur	46.8156	143.2387
SAinu258	ペンケ	펜케	Penke	46.8159	143.1678
SAinu259	タカバイ	타카배	Takabay	46.8201	143.1604
SAinu260	モエナウシ	모에나우시	Moenausi	46.8204	143.4315
SAinu261	ジャコウヅル	자코둘	Jakodur	46.821	143.1672
SAinu262	タヌシ	타누시	Tanusi	46.8212	143.07
SAinu263	バンケ	판케	Panke	46.8219	143.1797
SAinu264	イクニ	이쿠니	Ikuni	46.8231	143.2211
SAinu265	ロクナイ	로쿠내	Rokunay	46.8243	143.4288
SAinu266	イケヌカ	이케누카	Ikenuka	46.8301	143.1842
SAinu267	ユウノ	유노	Yuno	46.8302	143.0739
SAinu268	ポロナイ	포로내	Poro-nay	46.832	141.9364
SAinu269	チノヒビラ	치노히피라	Cinohipira	46.8321	141.9379
SAinu270	ヤンゲエンルン	얀케엔룸	Yanke-enrun	46.8325	143.4244
SAinu271	イラウシ	이라우시	Irausi	46.8328	143.0766
SAinu272	エダエ	에대	Edae	46.8332	143.1668
SAinu273	ペンブシ	펜풑	Pen-put	46.8347	143.1755
SAinu274	チカコシ	치카코시	Cikakosi	46.8378	143.1602
SAinu275	ノウポロ	노우포로	Nouporo	46.8382	143.1979
SAinu276	バンブシ	판풑	Pan-put	46.8396	143.1698
SAinu277	トカリ	토카리	Tokari	46.8396	143.146
SAinu278	キヌヌクイ	키누누킈	Kinunukuy	46.8399	143.1821
SAinu279	エダクス	에다쿳	Edakus	46.8408	143.1529
SAinu280	キムナイ	키문내	Kim-un-nay	46.8411	142.9325
SAinu281	トンヨウ	토뇨	Tonyo	46.8417	143.1348
SAinu282	ハートシ	하토시	Hatosi	46.842	143.4526
SAinu283	スズコロ	수수코로	Suzukoro	46.8424	143.1387
SAinu284	ミナキシ	미나키시	Minakisi	46.8434	143.0187
SAinu285	レフンナイホ	레푼내	Repun-nay	46.8447	143.4267
SAinu286	ポンナイ	폰내	Pon-nay	46.8459	141.944
SAinu287	チカペン	치카펜	Cikapen	46.848	143.1607
SAinu288	ウスチャ	웃차	Usca	46.8506	143.1563
SAinu289	チライ	치래	Ciray	46.8511	143.0852
SAinu290	トンナイチヤ	톤내차	Tonnayca	46.852	143.1668
SAinu291	トカリ	토카리	Tokari	46.8523	143.1404
SAinu292	カンチ	칸치	Kanci	46.8534	143.1489
SAinu293	ユクサキ	윸사키	Yuksaki	46.8536	143.1616
SAinu294	トクスホ	톸수호	Toksuho	46.8555	143.1114
SAinu295	バンケ	판케	Panke	46.8586	143.1331
SAinu296	トクシフ	톸시후	Toksihu	46.86	143.0987
SAinu297	オムトウ	오무토	O-mu-to	46.8603	143.157
SAinu298	イデセトマリ	이데세토마리	Idesetomari	46.8606	143.162
SAinu299	イイクシ	이쿠시	Ikusi	46.8607	143.1427
SAinu300	タラントマリ	타란토마리	Tarantomari	46.862	141.9629
SAinu301	リヤ	리야	Riya	46.8635	143.1545
SAinu302	ベンケ	펜케	Penke	46.8641	143.1047
SAinu303	ダイクビレ	대쿠비레	Daykubire	46.8644	143.094
SAinu304	ユクム	유쿰	Yukum	46.8645	143.1575
SAinu305	シワフナイ	시와후내	Siwahunay	46.8659	143.1441
SAinu306	モエト	묕	Moet	46.8685	143.157
SAinu307	オムドウ	오무토	O-mu-to	46.8713	143.1166
SAinu308	ミウルシ	미울시	Miursi	46.873	143.0904
SAinu309	トマリニクル	토마리니쿨	Tomarinikur	46.8742	143.1536
SAinu310	ポロス	포롯	Poros	46.8759	143.1476
SAinu311	アイヌル	애눌	Aynur	46.8759	143.1362
SAinu312	ススボナイ	수수보내	Susubonay	46.8766	143.1376
SAinu313	オモト	오모토	Omoto	46.8774	143.1381
SAinu314	クンシ	쿤시	Kunsi	46.8791	143.1387
SAinu315	ハラケヌシ	하라케누시	Harakenusi	46.8794	143.0977
SAinu316	ソイユキ	쇠유키	Soiyuki	46.887	143.0906
SAinu317	チリキヌシ	치리키누시	Cirikinusi	46.8927	143.1142
SAinu318	アナンナイ	아난내	Anannay	46.8986	141.9784
SAinu319	ハセウシ	하세우시	Haseusi	46.8988	143.1056
SAinu320	ハセウシ	하세우시	Haseusi	46.9003	143.1093
SAinu321	オトイケ	오퇴케	Otoyke	46.9027	143.0894
SAinu322	オチボヌプリ?	오치보누푸리?	Ocibonupuri?	46.9031	142.9231
SAinu323	チャチャヌプリ	차차누푸리	Caca-nupuri	46.9036	142.8727
SAinu324	オハトマリ	오하토마리	Ohatomari	46.9041	141.9895
SAinu325	ペシブ	페시부	Pesibu	46.9072	143.0982
SAinu326	ポロヌプリ	포로누푸리	Poro-nupuri	46.9131	142.9062
SAinu327	オチヨポカ	오치요포카	Ociyopoka	46.9142	143.092
SAinu328	オチヨポカ	오치요포카	Ociyopoka	46.9148	143.0894
