key	longitude	latitude	overall_length	texture	first_year	last_year
DolmenKR360	125.502	38.3912	50	Dolmen	-700	-200
DolmenKR361	126.864	38.3912	50	Dolmen	-700	-200
DolmenKR362	125.616	38.3864	50	Dolmen	-700	-200
DolmenKR363	125.55	38.3816	50	Dolmen	-700	-200
DolmenKR364	126.102	38.3816	50	Dolmen	-700	-200
DolmenKR365	126.366	38.3816	50	Dolmen	-700	-200
DolmenKR366	128.37	38.3816	50	Dolmen	-700	-200
DolmenKR367	125.346	38.3768	50	Dolmen	-700	-200
DolmenKR368	127.014	38.3768	50	Dolmen	-700	-200
DolmenKR369	126.168	38.3672	50	Dolmen	-700	-200
DolmenKR370	126.93	38.3672	50	Dolmen	-700	-200
DolmenKR371	125.28	38.3576	50	Dolmen	-700	-200
DolmenKR372	125.418	38.3576	50	Dolmen	-700	-200
DolmenKR373	125.544	38.3432	50	Dolmen	-700	-200
DolmenKR374	125.598	38.3432	50	Dolmen	-700	-200
DolmenKR375	125.484	38.3384	50	Dolmen	-700	-200
DolmenKR376	128.406	38.3384	50	Dolmen	-700	-200
DolmenKR377	126.954	38.3336	50	Dolmen	-700	-200
DolmenKR378	125.448	38.3288	50	Dolmen	-700	-200
DolmenKR379	126.828	38.3288	50	Dolmen	-700	-200
DolmenKR380	126.9	38.3288	50	Dolmen	-700	-200
DolmenKR381	125.106	38.2616	50	Dolmen	-700	-200
DolmenKR382	128.472	38.2136	50	Dolmen	-700	-200
DolmenKR383	127.986	38.2136	50	Dolmen	-700	-200
DolmenKR384	126.468	38.1944	50	Dolmen	-700	-200
DolmenKR385	124.938	38.18	50	Dolmen	-700	-200
DolmenKR386	127.944	38.1608	50	Dolmen	-700	-200
DolmenKR387	128.022	38.1416	50	Dolmen	-700	-200
DolmenKR388	125.58	38.1176	50	Dolmen	-700	-200
DolmenKR389	127.962	38.108	50	Dolmen	-700	-200
DolmenKR390	127.482	38.108	50	Dolmen	-700	-200
DolmenKR391	125.508	38.0984	50	Dolmen	-700	-200
DolmenKR392	127.062	38.0888	50	Dolmen	-700	-200
DolmenKR393	127.506	38.0792	50	Dolmen	-700	-200
DolmenKR394	125.568	38.0648	50	Dolmen	-700	-200
DolmenKR395	126.018	38.0648	50	Dolmen	-700	-200
DolmenKR396	127.458	38.0648	50	Dolmen	-700	-200
DolmenKR397	125.466	38.06	50	Dolmen	-700	-200
DolmenKR398	125.502	38.0504	50	Dolmen	-700	-200
DolmenKR399	127.02	38.0504	50	Dolmen	-700	-200
DolmenKR400	125.994	38.036	50	Dolmen	-700	-200
DolmenKR401	127.296	38.0216	50	Dolmen	-700	-200
DolmenKR402	127.35	38.0216	50	Dolmen	-700	-200
DolmenKR403	127.878	38.0216	50	Dolmen	-700	-200
DolmenKR404	125.544	38.0168	50	Dolmen	-700	-200
DolmenKR405	127.824	38.0168	50	Dolmen	-700	-200
DolmenKR406	127.2	38.012	50	Dolmen	-700	-200
DolmenKR407	125.484	38.0072	50	Dolmen	-700	-200
DolmenKR408	127.65	38.0024	50	Dolmen	-700	-200
DolmenKR409	127.686	37.9928	50	Dolmen	-700	-200
DolmenKR410	127.302	37.988	50	Dolmen	-700	-200
DolmenKR411	127.782	37.988	50	Dolmen	-700	-200
DolmenKR412	126.072	37.9832	50	Dolmen	-700	-200
DolmenKR413	127.578	37.9832	50	Dolmen	-700	-200
DolmenKR414	127.866	37.9832	50	Dolmen	-700	-200
DolmenKR415	127.254	37.9784	50	Dolmen	-700	-200
DolmenKR416	126.144	37.9688	50	Dolmen	-700	-200
DolmenKR417	126.288	37.964	50	Dolmen	-700	-200
DolmenKR418	127.134	37.964	50	Dolmen	-700	-200
DolmenKR419	127.626	37.964	50	Dolmen	-700	-200
DolmenKR420	127.176	37.9592	50	Dolmen	-700	-200
DolmenKR421	127.218	37.9592	50	Dolmen	-700	-200
DolmenKR422	127.668	37.9592	50	Dolmen	-700	-200
DolmenKR423	127.806	37.9544	50	Dolmen	-700	-200
DolmenKR424	127.296	37.9496	50	Dolmen	-700	-200
DolmenKR425	126.078	37.9448	50	Dolmen	-700	-200
DolmenKR426	127.572	37.9448	50	Dolmen	-700	-200
DolmenKR427	127.752	37.94	50	Dolmen	-700	-200
DolmenKR428	127.002	37.9352	50	Dolmen	-700	-200
DolmenKR429	127.188	37.9256	50	Dolmen	-700	-200
DolmenKR430	127.692	37.9256	50	Dolmen	-700	-200
DolmenKR431	127.128	37.9208	50	Dolmen	-700	-200
DolmenKR432	127.236	37.9208	50	Dolmen	-700	-200
DolmenKR433	127.488	37.9208	50	Dolmen	-700	-200
DolmenKR434	127.032	37.9112	50	Dolmen	-700	-200
DolmenKR435	127.614	37.9112	50	Dolmen	-700	-200
DolmenKR436	126.138	37.9064	50	Dolmen	-700	-200
DolmenKR437	127.164	37.9016	50	Dolmen	-700	-200
DolmenKR438	127.566	37.9016	50	Dolmen	-700	-200
DolmenKR439	127.746	37.9016	50	Dolmen	-700	-200
DolmenKR440	126.06	37.8968	50	Dolmen	-700	-200
DolmenKR441	126.996	37.8872	50	Dolmen	-700	-200
DolmenKR442	127.14	37.8872	50	Dolmen	-700	-200
DolmenKR443	127.656	37.8824	50	Dolmen	-700	-200
DolmenKR444	127.188	37.8728	50	Dolmen	-700	-200
DolmenKR445	127.608	37.868	50	Dolmen	-700	-200
DolmenKR446	127.71	37.868	50	Dolmen	-700	-200
DolmenKR447	126.168	37.8632	50	Dolmen	-700	-200
DolmenKR448	127.038	37.8632	50	Dolmen	-700	-200
DolmenKR449	127.152	37.8632	50	Dolmen	-700	-200
