key	value
Roma860	Canatha/*Gabinia/*Septimia
Roma861	Tafha
Roma862	Philippopolis
Roma863	Umm ez-Zeitun
Roma864	Omra
Roma865	Eitha Caesarea
Roma866	Tafha
Roma867	Philippopolis
Roma868	Omra
Roma869	Umm ez-Zeitun
Roma870	Eitha Caesarea
Roma871	Salamanestha
Roma872	Bosana
Roma873	Bosana
Roma874	Nelkomia/Neela?
Roma875	Egla
Roma876	*Tharba
Roma877	Dionysias/*Soada
Roma878	Arra
Roma879	*Athela
Roma880	Seia
Roma881	Canatha/*Gabinia/*Septimia
Roma882	Borechath Sabaon
Roma883	Dionysias/*Soada
Roma884	Seia
Roma885	Arra
Roma886	*Athela
Roma887	Canatha/*Gabinia/*Septimia
Roma888	Arra
Roma889	Dionysias/*Soada
Roma890	Seia
Roma891	*Athela
Roma892	Canatha/*Gabinia/*Septimia
Roma893	Borechath Sabaon
Roma894	Dionysias/*Soada
Roma895	Borechath Sabaon
Roma896	*Athela
Roma897	Seia
Roma898	Canatha/*Gabinia/*Septimia
Roma899	Seia
Roma900	Canatha/*Gabinia/*Septimia
Roma901	Dionysias/*Soada
Roma902	*Athela
Roma903	Borechath Sabaon
Roma904	*Selaima
Roma905	Mardocha
Roma906	Namara
Roma907	Philippopolis
Roma908	Tafha
Roma909	Mardocha
Roma910	Omra
Roma911	Mampsis
Roma912	Mampsis
Roma913	Abila Dekapoleos/Seleukeia
Roma914	Stratonos Pyrgos/Caesarea
Roma915	Meser
Roma916	Umm Rihan
Roma917	Qasr Tuliyeh
Roma918	Abu Danna
Roma919	Tawilan
Roma920	Petra
Roma921	Umm al-Biyara
Roma922	Bethoron Katotera
Roma923	Horvat Mezad
Roma924	Bethoron Anotera
Roma925	Kiriath Ye'arim/Kariathiareim
Roma926	Gabaon
Roma927	Moza/Ammaous/Kolonia
Roma928	Ein Karem
Roma929	Moza/Ammaous/Kolonia
Roma930	Horvat Mezad
Roma931	Kiriath Ye'arim/Kariathiareim
Roma932	Caphar Ruta
Roma933	Emmaus/Nicopolis
Roma934	Selebi
Roma935	Aialon
Roma936	Horvat Mezad
Roma937	Bethoron Katotera
Roma938	Bethoron Katotera
Roma939	Caphar Ruta
Roma940	Selebi
Roma941	Emmaus/Nicopolis
Roma942	Aialon
Roma943	Horvat Mezad
Roma944	Caphar Ruta
Roma945	Bethoron Katotera
Roma946	Selebi
Roma947	Emmaus/Nicopolis
Roma948	Aialon
Roma949	Horvat Mezad
Roma950	Kiriath Ye'arim/Kariathiareim
Roma951	Zoara
Roma952	Khirbet Dubab
Roma953	ʿĂfulȧ
Roma954	Samaria/Sebaste
Roma955	Deir Serur
Roma956	Phasaelis
Roma957	Rujm Abu Muheir
Roma958	Sartaba/Alexandreion
Roma959	Korea(i)
Roma960	Korea(i)
Roma961	Khirbet Basaliyye
Roma962	Sartaba/Alexandreion
Roma963	Thena
Roma964	Khirbet Khiraf
Roma965	Damiya Roman Bridge
Roma966	Korea(i)
Roma967	Sartaba/Alexandreion
Roma968	Khirbet Basaliyye
Roma969	Thena
Roma970	Khirbet el-Muhatta
Roma971	Tell Iktanu
Roma972	Livias
Roma973	Abila
Roma974	Khirbat Iskandar
Roma975	Valtha
Roma976	Untitled
Roma977	Dibon
Roma978	Aroes
Roma979	Untitled
Roma980	Sapharea?
Roma982	Lydda/Diospolis/Georgioupolis
Roma983	Gamzo
Roma984	Quseima
Roma985	Cadesh Barnea
Roma986	Scythopolis/Nysa
Roma987	Tell Basul
Roma988	Tell Basul
Roma989	Scythopolis/Nysa
Roma990	Ein Karem
Roma991	Moza/Ammaous/Kolonia
Roma992	Ramat Raḥel
Roma993	Ierusalem/Hierosolyma/Col. Aelia Capitolina
Roma994	'Ir David/Wadi Hilweh
Roma995	Bethania
Roma996	Untitled
Roma997	Untitled
Roma998	Kypros/Threx?
Roma999	Ṣuwwānet eth-Thanīya 
Roma1001	Douka
Roma1002	Na'aran/Neara
Roma1003	Kalamos
Roma1004	Tripolis
Roma1005	Bruttus
Roma1006	Arca/Herakleia en Phoinike/Caesarea ad Libanum
Roma1007	Raphaneai
Roma1008	Raphaneai
Roma1009	Nazala
Roma1010	Sachama
Roma1011	(H)Emesa
Roma1012	Thelseai
Roma1013	Qalaat al-Madiq
Roma1015	Pella/Apamea
Roma1016	Batnai
Roma1017	*Beselatha
Roma1018	Emar
Roma1019	Barbalissus
Roma1021	Caeciliana
Roma1022	Pitru
Roma1024	Mutkīnu
Roma1025	Daphne
Roma1026	Antiochia/Theoupolis
Roma1027	Afrin bridge
Roma1028	Cyrrus/Hagioupolis
Roma1029	Cyrrus/Hagioupolis
Roma1030	Afrin bridge
Roma1031	Ourima/Antiochia ad Euphratem/Arulis
Roma1032	Epiphaneia ad Euphratem
Roma1033	Apamea
Roma1034	Zeugma
Roma1035	Zeugma
Roma1036	Apamea
Roma1037	Epiphaneia ad Euphratem
Roma1038	Ourima/Antiochia ad Euphratem/Arulis
Roma1039	Edessa/Antiochia ad Callirhoem
Roma1040	Caphrena
Roma1041	Doliche
Roma1042	Tyba/Deba?
Roma1043	Sicos Basilisses
Roma1044	Sicos Basilisses
Roma1045	Tyba/Deba?
Roma1046	D(o)ura/Europos
Roma1047	Birtha
Roma1048	Orthosia
Roma1049	Bruttus
Roma1050	Arca/Herakleia en Phoinike/Caesarea ad Libanum
Roma1051	Untitled
Roma1052	Untitled
Roma1053	Untitled
Roma1054	Capersana
Roma1055	Caphrena
Roma1056	Qalaat al-Madiq
Roma1057	Pella/Apamea
Roma1059	Zitānu
Roma1060	Chalcis ad Belum
Roma1061	Patra(e)
Roma1062	"Panormos (settlement	 port)"
Roma1063	Patra(e)
Roma1064	Aigeira
Roma1065	Aigai
Roma1067	Pharis
Roma1068	Mystras
Roma1070	Alesiai
Roma1071	Therapne
Roma1072	Kouphovouno
Roma1073	Sparta
Roma1074	Karyai?/Iasos?
Roma1076	Oion
Roma1077	Oion
Roma1078	Karyai?/Iasos?
Roma1081	Karyai?/Iasos?
Roma1082	Oion
Roma1083	Belmina
Roma1084	Phalaisiai
Roma1085	Oresthasion
Roma1086	Sparta
Roma1087	Alesiai
Roma1088	Kouphovouno
Roma1089	Therapne
Roma1091	Pharis
Roma1093	Bia(n)dyna
Roma1094	Leukai (Laconia)
Roma1095	Asopos
Roma1096	Kyparissia
Roma1097	Kotyrta
Roma1099	Bia(n)dyna
Roma1100	Leukai (Laconia)
Roma1101	Kyparissia
Roma1102	Helos?
Roma1103	Selinous
Roma1104	Geronthrai
Roma1105	Selinous
Roma1106	Geronthrai
Roma1107	Sparta
Roma1108	Therapne
Roma1110	Pharis
Roma1111	Kouphovouno
Roma1112	Alesiai
